County,AD,ED,Name,Votes
New York,AD65,ED7,MELISSA MARK-VIVERITO,0
New York,AD65,ED7,MICHAEL A. BLAKE,0
New York,AD65,ED7,DAWN L. SMALLS,0
New York,AD65,ED7,ERIC A. ULRICH,0
New York,AD65,ED7,YDANIS RODRIGUEZ,0
New York,AD65,ED7,DANIEL J. O'DONNELL,0
New York,AD65,ED7,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED7,LATRICE M. WALKER,0
New York,AD65,ED7,JUMAANE D. WILLIAMS,0
New York,AD65,ED7,RON KIM,0
New York,AD65,ED7,BENJAMIN L. YEE,0
New York,AD65,ED7,A. MANNY ALICANDRO,0
New York,AD65,ED7,NOMIKI D. KONST,0
New York,AD65,ED7,DAVID EISENBACH,0
New York,AD65,ED7,JARED RICH,0
New York,AD65,ED7,ANTHONY TONY HERBERT,0
New York,AD65,ED7,HELAL A. SHEIKH,0
New York,AD65,ED7,WRITE-IN,0
New York,AD65,ED8,MELISSA MARK-VIVERITO,26
New York,AD65,ED8,MICHAEL A. BLAKE,6
New York,AD65,ED8,DAWN L. SMALLS,17
New York,AD65,ED8,ERIC A. ULRICH,46
New York,AD65,ED8,YDANIS RODRIGUEZ,0
New York,AD65,ED8,DANIEL J. O'DONNELL,3
New York,AD65,ED8,RAFAEL L. ESPINAL JR.,8
New York,AD65,ED8,LATRICE M. WALKER,1
New York,AD65,ED8,JUMAANE D. WILLIAMS,39
New York,AD65,ED8,RON KIM,16
New York,AD65,ED8,BENJAMIN L. YEE,33
New York,AD65,ED8,A. MANNY ALICANDRO,1
New York,AD65,ED8,NOMIKI D. KONST,6
New York,AD65,ED8,DAVID EISENBACH,0
New York,AD65,ED8,JARED RICH,0
New York,AD65,ED8,ANTHONY TONY HERBERT,1
New York,AD65,ED8,HELAL A. SHEIKH,0
New York,AD65,ED8,WRITE-IN,0
New York,AD65,ED9,MELISSA MARK-VIVERITO,14
New York,AD65,ED9,MICHAEL A. BLAKE,2
New York,AD65,ED9,DAWN L. SMALLS,8
New York,AD65,ED9,ERIC A. ULRICH,14
New York,AD65,ED9,YDANIS RODRIGUEZ,1
New York,AD65,ED9,DANIEL J. O'DONNELL,7
New York,AD65,ED9,RAFAEL L. ESPINAL JR.,1
New York,AD65,ED9,LATRICE M. WALKER,0
New York,AD65,ED9,JUMAANE D. WILLIAMS,14
New York,AD65,ED9,RON KIM,1
New York,AD65,ED9,BENJAMIN L. YEE,0
New York,AD65,ED9,A. MANNY ALICANDRO,2
New York,AD65,ED9,NOMIKI D. KONST,1
New York,AD65,ED9,DAVID EISENBACH,1
New York,AD65,ED9,JARED RICH,0
New York,AD65,ED9,ANTHONY TONY HERBERT,0
New York,AD65,ED9,HELAL A. SHEIKH,0
New York,AD65,ED9,WRITE-IN,0
New York,AD65,ED10,MELISSA MARK-VIVERITO,5
New York,AD65,ED10,MICHAEL A. BLAKE,4
New York,AD65,ED10,DAWN L. SMALLS,7
New York,AD65,ED10,ERIC A. ULRICH,13
New York,AD65,ED10,YDANIS RODRIGUEZ,0
New York,AD65,ED10,DANIEL J. O'DONNELL,0
New York,AD65,ED10,RAFAEL L. ESPINAL JR.,4
New York,AD65,ED10,LATRICE M. WALKER,0
New York,AD65,ED10,JUMAANE D. WILLIAMS,27
